idx	label	predict	radius	correct	time
0	3	3	0.0251	1	0:00:00.142888
1	8	1	0.0251	0	0:00:00.133387
2	8	8	0.0251	1	0:00:00.132499
3	0	8	0.0251	0	0:00:00.135777
4	6	6	0.0251	1	0:00:00.138168
5	6	6	0.0251	1	0:00:00.132291
6	1	1	0.0251	1	0:00:00.130145
7	6	6	0.0251	1	0:00:00.132065
8	3	3	0.0251	1	0:00:00.136945
9	1	1	0.0251	1	0:00:00.133703
10	0	0	0.0251	1	0:00:00.131144
11	9	9	0.0251	1	0:00:00.131684
12	5	5	0.0251	1	0:00:00.146446
13	7	7	0.0251	1	0:00:00.133088
14	9	9	0.0251	1	0:00:00.132599
15	8	8	0.0251	1	0:00:00.133854
16	5	5	0.0251	1	0:00:00.132015
17	7	7	0.0251	1	0:00:00.132490
18	8	8	0.0251	1	0:00:00.130173
19	6	6	0.0251	1	0:00:00.145432
20	7	7	0.0251	1	0:00:00.132561
21	0	0	0.0251	1	0:00:00.129296
22	4	2	0.00813	0	0:00:00.131902
23	9	9	0.0251	1	0:00:00.133720
24	5	4	0.0251	0	0:00:00.134120
25	2	2	0.0251	1	0:00:00.134036
26	4	5	0.0251	0	0:00:00.136677
27	0	0	0.0251	1	0:00:00.132638
28	9	9	0.0251	1	0:00:00.130856
29	6	6	0.0251	1	0:00:00.131447
30	6	6	0.0251	1	0:00:00.135803
31	5	5	0.0251	1	0:00:00.134794
32	4	6	0.0107	0	0:00:00.149430
33	5	5	0.0251	1	0:00:00.138905
34	9	9	0.0251	1	0:00:00.138981
35	2	8	0.0251	0	0:00:00.131653
36	4	4	0.0251	1	0:00:00.130373
37	1	1	0.0251	1	0:00:00.133373
38	9	9	0.0251	1	0:00:00.133000
39	5	5	0.0251	1	0:00:00.130676
40	4	4	0.0251	1	0:00:00.139831
41	6	6	0.0251	1	0:00:00.133288
42	5	3	0.0251	0	0:00:00.132108
43	6	6	0.0251	1	0:00:00.131444
44	0	0	0.0251	1	0:00:00.132961
45	9	9	0.0251	1	0:00:00.134347
46	3	3	0.0251	1	0:00:00.158058
47	9	9	0.0251	1	0:00:00.131683
48	7	7	0.0251	1	0:00:00.134523
49	6	6	0.0251	1	0:00:00.129367
50	9	9	0.0251	1	0:00:00.158998
51	8	8	0.0251	1	0:00:00.143678
52	0	7	0.0251	0	0:00:00.133591
53	3	6	0.0251	0	0:00:00.131910
54	8	8	0.0251	1	0:00:00.135126
55	8	8	0.0251	1	0:00:00.134174
56	7	4	0.0251	0	0:00:00.130664
57	7	7	0.0251	1	0:00:00.132143
58	4	7	0.0251	0	0:00:00.132397
59	6	7	0.0106	0	0:00:00.157207
60	7	7	0.0251	1	0:00:00.133830
61	3	5	0.0251	0	0:00:00.133045
62	6	6	0.0251	1	0:00:00.135793
63	3	3	0.0251	1	0:00:00.133241
64	6	6	0.0251	1	0:00:00.129788
65	2	2	0.0251	1	0:00:00.134149
66	1	1	0.0251	1	0:00:00.134396
67	2	6	0.0251	0	0:00:00.135427
68	3	3	0.0251	1	0:00:00.132322
69	7	7	0.0251	1	0:00:00.136410
70	2	2	0.0251	1	0:00:00.137142
71	6	6	0.0251	1	0:00:00.131513
72	8	8	0.0251	1	0:00:00.132632
73	8	8	0.0251	1	0:00:00.139409
74	0	0	0.0251	1	0:00:00.134827
75	2	2	0.0251	1	0:00:00.132102
76	9	9	0.0251	1	0:00:00.130746
77	3	3	0.0251	1	0:00:00.132862
78	3	5	0.0251	0	0:00:00.132594
79	8	8	0.0251	1	0:00:00.132187
80	8	8	0.0251	1	0:00:00.131554
81	1	1	0.0251	1	0:00:00.133223
82	1	1	0.0251	1	0:00:00.130756
83	7	7	0.0251	1	0:00:00.134181
84	2	2	0.0251	1	0:00:00.135034
85	5	9	0.0251	0	0:00:00.135548
86	2	2	0.0251	1	0:00:00.131698
87	7	7	0.0244	1	0:00:00.131160
88	8	8	0.0251	1	0:00:00.130994
89	9	9	0.0251	1	0:00:00.142945
90	0	0	0.0251	1	0:00:00.139395
91	3	6	0.0251	0	0:00:00.130510
92	8	8	0.0251	1	0:00:00.137623
93	6	6	0.0251	1	0:00:00.132988
94	4	4	0.0251	1	0:00:00.132960
95	6	6	0.0251	1	0:00:00.131152
96	6	6	0.0251	1	0:00:00.132567
97	0	0	0.00819	1	0:00:00.137070
98	0	0	0.0251	1	0:00:00.131465
99	7	7	0.0251	1	0:00:00.130344
100	4	4	0.0251	1	0:00:00.133708
101	5	5	0.0251	1	0:00:00.145816
102	6	6	0.0251	1	0:00:00.152585
103	3	3	0.0251	1	0:00:00.143895
104	1	1	0.0251	1	0:00:00.143617
105	1	1	0.0251	1	0:00:00.158132
106	3	6	0.0251	0	0:00:00.148084
107	6	6	0.0251	1	0:00:00.134727
108	8	8	0.0251	1	0:00:00.132911
109	7	7	0.0251	1	0:00:00.131629
110	4	4	0.0251	1	0:00:00.132458
111	0	0	0.0251	1	0:00:00.130289
112	6	2	0.0251	0	0:00:00.130677
113	2	2	0.0251	1	0:00:00.137726
114	1	1	0.0251	1	0:00:00.134730
115	3	5	0.0251	0	0:00:00.134356
116	0	0	0.0251	1	0:00:00.131243
117	4	4	0.0251	1	0:00:00.132855
118	2	7	0.0251	0	0:00:00.147996
119	7	7	0.0251	1	0:00:00.156861
120	8	8	0.0251	1	0:00:00.144050
121	3	3	0.0251	1	0:00:00.149473
122	1	1	0.0251	1	0:00:00.147908
123	2	2	0.0251	1	0:00:00.150009
124	8	8	0.0251	1	0:00:00.131187
125	0	0	0.0251	1	0:00:00.130195
126	8	8	0.0251	1	0:00:00.129791
127	3	3	0.0251	1	0:00:00.136534
128	5	5	0.0188	1	0:00:00.141801
129	2	2	0.0251	1	0:00:00.130283
130	4	4	0.0251	1	0:00:00.135727
131	1	1	0.0251	1	0:00:00.131961
132	8	8	0.0251	1	0:00:00.134815
133	9	9	0.0251	1	0:00:00.132565
134	1	1	0.0251	1	0:00:00.132344
135	2	2	0.0251	1	0:00:00.136873
136	9	9	0.0251	1	0:00:00.138265
137	7	7	0.0251	1	0:00:00.133884
138	2	4	0.0251	0	0:00:00.140279
139	9	8	0.00326	0	0:00:00.134244
140	6	6	0.0251	1	0:00:00.133648
141	5	5	0.0251	1	0:00:00.147436
142	6	6	0.0251	1	0:00:00.132079
143	3	2	0.0228	0	0:00:00.165024
144	8	8	0.0251	1	0:00:00.156613
145	7	7	0.0251	1	0:00:00.132979
146	6	6	0.0251	1	0:00:00.131477
147	2	5	0.0251	0	0:00:00.131569
148	5	5	0.0251	1	0:00:00.131759
149	2	2	0.0251	1	0:00:00.131257
150	8	8	0.0251	1	0:00:00.133817
151	9	9	0.0251	1	0:00:00.130625
152	6	6	0.0251	1	0:00:00.135210
153	0	0	0.0251	1	0:00:00.132973
154	0	0	0.0251	1	0:00:00.141043
155	5	5	0.0251	1	0:00:00.130306
156	2	2	0.0251	1	0:00:00.131891
157	9	9	0.0251	1	0:00:00.131600
158	5	5	0.0251	1	0:00:00.133754
159	4	4	0.0251	1	0:00:00.130854
160	2	0	0.0251	0	0:00:00.132109
161	1	1	0.0251	1	0:00:00.138345
162	6	6	0.0251	1	0:00:00.133797
163	6	6	0.0251	1	0:00:00.133950
164	8	0	0.0251	0	0:00:00.156023
165	4	4	0.0251	1	0:00:00.134463
166	8	8	0.0251	1	0:00:00.138184
167	4	4	0.0251	1	0:00:00.132174
168	5	5	0.0251	1	0:00:00.133004
169	0	0	0.0205	1	0:00:00.133194
170	9	9	0.0251	1	0:00:00.130777
171	9	9	0.0251	1	0:00:00.131890
172	9	9	0.0251	1	0:00:00.137001
173	8	8	0.0251	1	0:00:00.137451
174	9	9	0.0251	1	0:00:00.132158
175	9	9	0.0251	1	0:00:00.131763
176	3	3	0.0251	1	0:00:00.133590
177	7	7	0.0251	1	0:00:00.159080
178	5	5	0.0251	1	0:00:00.140946
179	0	0	0.0251	1	0:00:00.144680
180	0	0	0.0251	1	0:00:00.144633
181	5	5	0.0251	1	0:00:00.131095
182	2	2	0.0251	1	0:00:00.133087
183	2	6	0.0251	0	0:00:00.152598
184	3	3	0.0251	1	0:00:00.151767
185	8	8	0.0251	1	0:00:00.133542
186	6	6	0.0251	1	0:00:00.134314
187	3	3	0.0251	1	0:00:00.143103
188	4	3	0.0251	0	0:00:00.149358
189	0	8	0.0251	0	0:00:00.146111
190	5	6	0.0251	0	0:00:00.147208
191	8	3	0.0251	0	0:00:00.145750
192	0	0	0.0251	1	0:00:00.148310
193	1	9	0.0251	0	0:00:00.131799
194	7	7	0.0251	1	0:00:00.133516
195	2	7	0.0251	0	0:00:00.130948
196	8	8	0.0251	1	0:00:00.138096
197	8	2	0.0175	0	0:00:00.148582
198	7	7	0.0251	1	0:00:00.134123
199	8	8	0.0251	1	0:00:00.131614
200	5	5	0.0251	1	0:00:00.143178
201	1	1	0.0251	1	0:00:00.155919
202	8	8	0.0251	1	0:00:00.156220
203	7	7	0.0251	1	0:00:00.152330
204	1	1	0.0251	1	0:00:00.152250
205	3	3	0.0251	1	0:00:00.148593
206	0	0	0.0251	1	0:00:00.131720
207	5	5	0.0251	1	0:00:00.133658
208	7	7	0.0251	1	0:00:00.131534
209	9	9	0.0251	1	0:00:00.134191
210	7	7	0.0251	1	0:00:00.131047
211	4	4	0.0251	1	0:00:00.128837
212	5	5	0.0251	1	0:00:00.128597
213	9	7	0.0251	0	0:00:00.133790
214	8	8	0.0251	1	0:00:00.133694
215	0	0	0.0251	1	0:00:00.130695
216	7	7	0.0251	1	0:00:00.140594
217	9	1	0.00172	0	0:00:00.131458
218	8	8	0.0251	1	0:00:00.135190
219	2	2	0.0251	1	0:00:00.134322
220	7	7	0.0251	1	0:00:00.134032
221	6	3	0.0251	0	0:00:00.134937
222	9	9	0.0251	1	0:00:00.132778
223	4	4	0.0251	1	0:00:00.138751
224	3	4	0.0251	0	0:00:00.129102
225	9	9	0.0251	1	0:00:00.130481
226	6	0	0.0251	0	0:00:00.132326
227	4	4	0.0251	1	0:00:00.131301
228	7	5	0.00384	0	0:00:00.131558
229	6	6	0.0251	1	0:00:00.133646
230	5	5	0.0251	1	0:00:00.131770
231	1	1	0.0251	1	0:00:00.131619
232	5	9	0.0251	0	0:00:00.138511
233	8	8	0.0251	1	0:00:00.134714
234	8	8	0.0251	1	0:00:00.130847
235	0	0	0.0251	1	0:00:00.158414
236	4	4	0.0251	1	0:00:00.132297
237	0	7	0.0251	0	0:00:00.132303
238	5	5	0.0251	1	0:00:00.131268
239	5	5	0.0251	1	0:00:00.145068
240	1	1	0.0251	1	0:00:00.132036
241	1	1	0.0251	1	0:00:00.130926
242	8	8	0.0251	1	0:00:00.131550
243	9	9	0.0251	1	0:00:00.130160
244	0	0	0.0251	1	0:00:00.151332
245	3	6	0.0251	0	0:00:00.145360
246	1	1	0.0251	1	0:00:00.146856
247	9	8	0.0251	0	0:00:00.134360
248	2	2	0.0251	1	0:00:00.135624
249	2	4	0.0251	0	0:00:00.134847
250	5	5	0.0251	1	0:00:00.137665
251	3	3	0.0251	1	0:00:00.134619
252	9	9	0.0251	1	0:00:00.133273
253	9	9	0.0251	1	0:00:00.140052
254	4	4	0.0251	1	0:00:00.133095
255	0	0	0.0251	1	0:00:00.131431
256	3	3	0.0251	1	0:00:00.132366
257	0	0	0.0251	1	0:00:00.131945
258	0	8	0.0251	0	0:00:00.137920
259	9	1	0.0251	0	0:00:00.129448
260	8	8	0.0121	1	0:00:00.132783
261	1	1	0.0251	1	0:00:00.135881
262	5	5	0.00768	1	0:00:00.135900
263	7	3	0.00486	0	0:00:00.132359
264	0	0	0.0251	1	0:00:00.131191
265	8	2	0.0178	0	0:00:00.132111
266	2	2	0.00679	1	0:00:00.133850
267	4	4	0.0251	1	0:00:00.130781
268	7	7	0.0251	1	0:00:00.130582
269	0	0	0.0251	1	0:00:00.131752
270	2	2	0.0251	1	0:00:00.132709
271	3	5	0.0251	0	0:00:00.129654
272	6	6	0.0251	1	0:00:00.131231
273	3	5	0.0251	0	0:00:00.132945
274	8	8	0.0251	1	0:00:00.148437
275	5	5	0.0251	1	0:00:00.129400
276	0	0	0.0251	1	0:00:00.134401
277	3	2	0.0251	0	0:00:00.131620
278	4	4	0.0251	1	0:00:00.131633
279	3	6	0.0251	0	0:00:00.133134
280	9	9	0.0251	1	0:00:00.129701
281	0	0	0.0251	1	0:00:00.130306
282	6	6	0.0251	1	0:00:00.130365
283	1	1	0.0251	1	0:00:00.128810
284	0	0	0.00882	1	0:00:00.137159
285	9	9	0.0251	1	0:00:00.133178
286	1	1	0.0251	1	0:00:00.133495
287	0	8	0.0251	0	0:00:00.137156
288	7	7	0.0251	1	0:00:00.131864
289	9	9	0.0251	1	0:00:00.136134
290	1	1	0.0251	1	0:00:00.131488
291	2	2	0.0251	1	0:00:00.134523
292	6	6	0.0251	1	0:00:00.134199
293	9	9	0.0251	1	0:00:00.132875
294	3	3	0.0251	1	0:00:00.131280
295	4	4	0.0251	1	0:00:00.134839
296	6	6	0.0251	1	0:00:00.132752
297	0	0	0.0251	1	0:00:00.148352
298	0	0	0.0251	1	0:00:00.143245
299	6	6	0.0251	1	0:00:00.143596
300	6	6	0.0251	1	0:00:00.130633
301	6	6	0.0251	1	0:00:00.129308
302	3	5	0.0251	0	0:00:00.132143
303	2	2	0.0251	1	0:00:00.132739
304	6	6	0.0251	1	0:00:00.158813
305	1	1	0.0251	1	0:00:00.145756
306	8	9	0.0251	0	0:00:00.133760
307	2	2	0.0251	1	0:00:00.161604
308	1	1	0.0251	1	0:00:00.150113
309	6	4	0.0251	0	0:00:00.152582
310	8	8	0.0251	1	0:00:00.145666
311	6	6	0.0251	1	0:00:00.150530
312	8	0	0.0251	0	0:00:00.142123
313	0	0	0.0251	1	0:00:00.138615
314	4	4	0.0251	1	0:00:00.132733
315	0	0	0.0251	1	0:00:00.131354
316	7	7	0.0251	1	0:00:00.132775
317	7	5	0.0251	0	0:00:00.140502
318	5	5	0.0251	1	0:00:00.135391
319	5	5	0.0251	1	0:00:00.134840
320	3	3	0.0251	1	0:00:00.134918
321	5	3	0.0251	0	0:00:00.132356
322	2	2	0.0251	1	0:00:00.131215
323	3	2	0.0251	0	0:00:00.132182
324	4	4	0.0251	1	0:00:00.132323
325	1	1	0.0251	1	0:00:00.135849
326	7	7	0.0251	1	0:00:00.132413
327	5	5	0.0251	1	0:00:00.149929
328	4	4	0.0251	1	0:00:00.135240
329	6	6	0.0251	1	0:00:00.130717
330	1	1	0.0251	1	0:00:00.131581
331	9	9	0.0251	1	0:00:00.169896
332	3	6	0.0251	0	0:00:00.152440
333	6	6	0.0251	1	0:00:00.139559
334	6	6	0.0251	1	0:00:00.130073
335	9	9	0.0251	1	0:00:00.135650
336	3	3	0.0251	1	0:00:00.133676
337	8	8	0.0251	1	0:00:00.133926
338	0	0	0.0251	1	0:00:00.149311
339	7	7	0.0251	1	0:00:00.131721
340	2	6	0.0251	0	0:00:00.132548
341	6	6	0.0251	1	0:00:00.131693
342	2	0	0.0223	0	0:00:00.133520
343	5	5	0.0251	1	0:00:00.132562
344	8	8	0.0251	1	0:00:00.130764
345	5	5	0.0251	1	0:00:00.131895
346	4	4	0.0251	1	0:00:00.134485
347	6	6	0.0251	1	0:00:00.131865
348	8	8	0.0251	1	0:00:00.129851
349	9	9	0.0251	1	0:00:00.132959
350	9	9	0.0251	1	0:00:00.132161
351	1	1	0.0251	1	0:00:00.129427
352	0	0	0.0251	1	0:00:00.131599
353	2	2	0.0251	1	0:00:00.135318
354	2	6	0.0251	0	0:00:00.155701
355	7	4	0.00349	0	0:00:00.142431
356	3	3	0.0251	1	0:00:00.132194
357	2	2	0.0251	1	0:00:00.132364
358	8	8	0.0251	1	0:00:00.131653
359	0	0	0.0251	1	0:00:00.128258
360	9	9	0.0251	1	0:00:00.131749
361	5	5	0.0251	1	0:00:00.132726
362	8	8	0.0251	1	0:00:00.144057
363	1	9	0.0251	0	0:00:00.141032
364	9	9	0.0251	1	0:00:00.152983
365	4	4	0.0251	1	0:00:00.151860
366	1	1	0.0251	1	0:00:00.148458
367	3	3	0.0251	1	0:00:00.150449
368	8	8	0.0251	1	0:00:00.146216
369	1	1	0.0251	1	0:00:00.150657
370	4	2	0.0251	0	0:00:00.145202
371	7	7	0.0251	1	0:00:00.138656
372	9	9	0.0251	1	0:00:00.132514
373	4	4	0.0251	1	0:00:00.155379
374	2	2	0.0251	1	0:00:00.134527
375	7	7	0.0251	1	0:00:00.132082
376	0	2	0.00576	0	0:00:00.159934
377	7	7	0.0251	1	0:00:00.150239
378	0	2	0.0251	0	0:00:00.148618
379	6	6	0.0251	1	0:00:00.150939
380	6	6	0.0251	1	0:00:00.148335
381	9	9	0.0251	1	0:00:00.152723
382	0	0	0.0251	1	0:00:00.147887
383	9	1	0.0251	0	0:00:00.129807
384	2	5	0.0251	0	0:00:00.136209
385	8	8	0.0236	1	0:00:00.137322
386	7	7	0.0251	1	0:00:00.133592
387	2	2	0.0251	1	0:00:00.133814
388	2	2	0.00301	1	0:00:00.133726
389	5	5	0.0251	1	0:00:00.132849
390	1	1	0.0251	1	0:00:00.132783
391	2	2	0.0251	1	0:00:00.130061
392	6	6	0.0251	1	0:00:00.135358
393	2	6	0.0251	0	0:00:00.133265
394	9	9	0.0251	1	0:00:02.119494
395	6	6	0.0251	1	0:00:00.133633
396	2	5	0.0251	0	0:00:00.134527
397	3	3	0.0251	1	0:00:00.137583
398	0	0	0.0251	1	0:00:00.133598
399	3	3	0.0251	1	0:00:00.136746
400	9	9	0.0251	1	0:00:00.134178
401	8	8	0.0251	1	0:00:00.134139
402	7	4	0.0251	0	0:00:00.131536
403	8	8	0.0251	1	0:00:00.135227
404	8	8	0.0251	1	0:00:00.133478
405	4	6	0.0157	0	0:00:00.135046
406	0	0	0.0251	1	0:00:00.130809
407	1	1	0.0251	1	0:00:00.141828
408	8	8	0.0251	1	0:00:00.133439
409	2	3	0.0251	0	0:00:00.131420
410	7	7	0.0251	1	0:00:00.151364
411	9	0	0.0251	0	0:00:00.130633
412	3	5	0.0251	0	0:00:00.150626
413	6	6	0.0251	1	0:00:00.133443
414	1	1	0.0251	1	0:00:00.134550
415	9	9	0.0251	1	0:00:00.132583
416	0	0	0.0251	1	0:00:00.135569
417	7	0	0.0244	0	0:00:00.166720
418	3	5	0.0251	0	0:00:00.132562
419	7	7	0.0251	1	0:00:00.137424
420	4	4	0.0251	1	0:00:00.140757
421	5	7	0.0251	0	0:00:00.130805
422	0	8	0.0251	0	0:00:00.137156
423	0	0	0.0251	1	0:00:00.130469
424	2	2	0.0251	1	0:00:00.131974
425	9	9	0.0251	1	0:00:00.133044
426	3	6	0.0251	0	0:00:00.153633
427	4	2	0.024	0	0:00:00.130810
428	0	6	0.0251	0	0:00:00.132774
429	6	6	0.0251	1	0:00:00.147241
430	2	4	0.0251	0	0:00:00.134129
431	5	5	0.0251	1	0:00:00.133243
432	3	3	0.0251	1	0:00:00.130907
433	7	4	0.00244	0	0:00:00.133900
